iter	Passed	Remaining
151	661	3689
152	666	3687
153	670	3684
154	675	3680
155	679	3677
156	684	3673
157	688	3667
158	692	3664
159	697	3662
160	701	3657
161	706	3652
162	710	3647
163	714	3643
164	719	3640
165	723	3634
166	727	3628
167	731	3622
168	735	3617
169	740	3613
170	744	3610
171	748	3604
172	753	3600
173	757	3595
174	761	3590
175	766	3586
176	770	3582
177	775	3579
178	779	3575
179	783	3571
180	788	3566
181	792	3561
182	796	3558
183	801	3554
184	805	3550
185	810	3545
186	814	3541
187	818	3536
188	823	3531
189	827	3527
190	832	3525
191	836	3520
192	840	3515
193	844	3510
194	849	3505
195	853	3501
196	858	3497
197	862	3494
198	867	3490
199	871	3484
200	875	3480
201	879	3475
202	883	3469
203	887	3464
204	892	3461
205	897	3458
206	901	3453
207	906	3449
208	910	3445
209	914	3440
210	918	3435
211	923	3431
212	927	3427
213	931	3422
214	936	3418
215	940	3414
216	945	3410
217	949	3405
218	953	3400
219	957	3395
220	961	3389
221	965	3384
222	970	3381
223	974	3376
224	978	3371
225	983	3367
226	987	3363
227	991	3357
228	996	3353
229	1000	3349
230	1005	3346
231	1009	3341
232	1013	3336
233	1017	3331
234	1022	3327
235	1026	3322
236	1031	3319
237	1035	3315
238	1040	3311
239	1044	3308
240	1048	3303
241	1053	3298
242	1057	3294
243	1062	3290
244	1066	3287
245	1071	3283
246	1076	3280
247	1080	3276
248	1085	3272
249	1089	3268
250	1093	3263
251	1097	3258
252	1101	3253
253	1106	3250
254	1111	3246
255	1115	3241
256	1119	3236
257	1123	3232
258	1128	3227
259	1132	3222
260	1137	3220
261	1141	3216
262	1146	3211
263	1150	3207
264	1154	3203
265	1159	3198
266	1163	3193
267	1167	3188
268	1172	3185
269	1176	3180
270	1180	3176
271	1185	3172
272	1189	3167
273	1193	3161
274	1197	3158
275	1202	3155
276	1207	3150
277	1211	3147
278	1216	3142
279	1220	3138
280	1224	3133
281	1228	3129
282	1233	3124
283	1237	3119
284	1241	3115
285	1246	3111
286	1250	3106
287	1254	3102
288	1259	3098
289	1263	3094
290	1267	3089
291	1272	3084
292	1276	3079
293	1280	3074
294	1284	3069
295	1288	3064
296	1293	3060
297	1297	3055
298	1302	3052
299	1306	3048
300	1310	3043
301	1315	3040
302	1320	3036
303	1324	3031
304	1328	3027
305	1333	3024
306	1337	3019
307	1342	3015
308	1346	3011
309	1350	3007
310	1355	3002
311	1360	2999
312	1364	2994
313	1368	2990
314	1373	2986
315	1377	2981
316	1381	2977
317	1386	2972
318	1390	2968
319	1394	2963
320	1399	2959
321	1403	2954
322	1407	2949
323	1411	2945
324	1416	2941
325	1420	2936
326	1424	2932
327	1429	2927
328	1433	2922
329	1437	2917
330	1441	2913
331	1445	2908
332	1450	2904
333	1455	2901
334	1459	2896
335	1463	2891
336	1467	2887
337	1472	2883
338	1476	2879
339	1480	2874
340	1485	2869
341	1489	2865
342	1494	2861
343	1498	2857
344	1502	2852
345	1507	2849
346	1511	2845
347	1516	2841
348	1521	2838
349	1525	2833
350	1531	2830
351	1535	2827
352	1540	2823
353	1544	2818
354	1548	2814
355	1553	2809
356	1557	2805
357	1561	2800
358	1565	2795
359	1570	2791
360	1574	2787
361	1578	2782
362	1583	2778
363	1587	2773
364	1591	2769
365	1595	2764
366	1600	2759
367	1604	2755
368	1609	2751
369	1613	2747
370	1618	2743
371	1622	2739
372	1627	2735
373	1631	2731
374	1635	2726
375	1640	2722
376	1644	2717
377	1648	2713
378	1653	2709
379	1658	2705
380	1662	2700
381	1666	2695
382	1670	2691
383	1675	2687
384	1679	2682
385	1683	2678
386	1687	2673
387	1691	2668
388	1696	2664
389	1700	2659
390	1704	2655
391	1708	2650
392	1713	2646
393	1717	2641
394	1722	2638
395	1727	2635
396	1732	2631
397	1737	2627
398	1741	2623
399	1746	2619
400	1750	2614
401	1754	2609
402	1758	2605
403	1762	2600
404	1767	2596
405	1771	2592
406	1776	2587
407	1780	2583
408	1784	2578
409	1789	2574
410	1792	2569
411	1797	2565
412	1800	2559
413	1804	2554
414	1809	2550
415	1813	2545
416	1817	2541
417	1822	2537
418	1827	2533
419	1831	2528
420	1835	2524
421	1839	2519
422	1844	2515
423	1848	2510
424	1852	2506
425	1856	2502
426	1861	2497
427	1866	2493
428	1870	2489
429	1874	2484
430	1878	2480
431	1882	2475
432	1887	2471
433	1891	2466
434	1895	2462
435	1900	2458
436	1904	2453
437	1908	2448
438	1912	2444
439	1916	2439
440	1921	2435
441	1925	2431
442	1930	2427
443	1934	2423
444	1939	2418
445	1943	2413
446	1947	2409
447	1951	2404
448	1956	2400
449	1961	2396
450	1965	2392
451	1970	2388
452	1974	2384
453	1979	2380
454	1983	2376
455	1988	2372
456	1992	2368
457	1997	2363
458	2001	2359
459	2006	2355
460	2010	2351
461	2015	2347
462	2020	2343
463	2024	2338
464	2029	2334
465	2033	2330
466	2038	2326
467	2042	2321
468	2046	2316
469	2049	2311
470	2054	2307
471	2058	2302
472	2064	2299
473	2068	2295
474	2072	2291
475	2077	2286
476	2080	2281
477	2084	2276
478	2088	2272
479	2093	2267
480	2096	2262
481	2100	2257
482	2105	2253
483	2109	2249
484	2112	2243
485	2116	2238
486	2121	2234
487	2125	2230
488	2129	2225
489	2134	2221
490	2138	2216
491	2142	2212
492	2147	2208
493	2151	2203
494	2155	2199
495	2160	2194
496	2164	2190
497	2168	2185
498	2172	2181
499	2176	2176
500	2181	2172
501	2185	2168
502	2189	2163
503	2194	2159
504	2198	2154
505	2202	2150
506	2206	2145
507	2210	2141
508	2215	2137
509	2219	2132
510	2223	2128
511	2227	2123
512	2231	2118
513	2236	2114
514	2241	2110
515	2245	2106
516	2249	2101
517	2254	2097
518	2259	2093
519	2263	2089
520	2267	2084
521	2271	2080
522	2275	2075
523	2279	2071
524	2283	2066
525	2288	2061
526	2292	2057
527	2296	2053
528	2299	2047
529	2303	2042
530	2307	2038
531	2311	2033
532	2315	2028
533	2320	2024
534	2323	2019
535	2328	2015
536	2332	2011
537	2337	2007
538	2341	2002
539	2346	1998
540	2350	1993
541	2354	1989
542	2358	1984
543	2362	1980
544	2367	1976
545	2372	1972
546	2376	1968
547	2381	1964
548	2385	1959
549	2389	1955
550	2394	1951
551	2399	1947
552	2403	1942
553	2408	1938
554	2412	1934
555	2416	1930
556	2421	1925
557	2425	1921
558	2429	1916
559	2434	1912
560	2438	1908
561	2442	1903
562	2446	1899
563	2450	1894
564	2454	1890
565	2459	1885
566	2463	1881
567	2468	1877
568	2472	1872
569	2476	1868
570	2481	1864
571	2485	1859
572	2489	1855
573	2493	1850
574	2498	1846
575	2502	1842
576	2506	1837
577	2511	1833
578	2515	1828
579	2519	1824
580	2523	1819
581	2527	1815
582	2532	1811
583	2536	1806
584	2541	1802
585	2545	1798
586	2549	1793
587	2553	1789
588	2558	1785
589	2562	1780
590	2566	1776
591	2570	1771
592	2574	1767
593	2579	1762
594	2583	1758
595	2587	1754
596	2592	1749
597	2596	1745
598	2600	1741
599	2604	1736
600	2609	1732
601	2613	1728
602	2618	1723
603	2622	1719
604	2627	1715
605	2631	1710
606	2636	1706
607	2641	1703
608	2646	1699
609	2650	1694
610	2655	1690
611	2659	1686
612	2663	1681
613	2667	1677
614	2672	1672
615	2676	1668
616	2680	1664
617	2685	1659
618	2689	1655
619	2693	1650
620	2697	1646
621	2701	1642
622	2706	1637
623	2710	1633
624	2715	1629
625	2719	1624
626	2723	1620
627	2727	1615
628	2731	1611
629	2736	1607
630	2740	1602
631	2744	1598
632	2748	1593
633	2753	1589
634	2757	1585
635	2762	1580
636	2766	1576
637	2770	1571
638	2775	1567
639	2779	1563
640	2784	1559
641	2788	1554
642	2792	1550
643	2796	1546
644	2801	1541
645	2805	1537
646	2809	1533
647	2814	1528
648	2818	1524
649	2823	1520
650	2826	1515
651	2831	1511
652	2835	1506
653	2839	1502
654	2843	1497
655	2848	1493
656	2852	1489
657	2856	1484
658	2861	1480
659	2865	1476
660	2869	1471
661	2874	1467
662	2878	1463
663	2882	1458
664	2886	1454
665	2890	1449
666	2894	1445
667	2897	1440
668	2901	1435
669	2906	1431
670	2910	1427
671	2914	1422
672	2919	1418
673	2923	1414
674	2927	1409
675	2932	1405
676	2936	1400
677	2940	1396
678	2944	1391
679	2948	1387
680	2953	1383
681	2957	1378
682	2961	1374
683	2965	1370
684	2970	1365
685	2974	1361
686	2978	1357
687	2982	1352
688	2986	1348
689	2991	1343
690	2995	1339
691	2999	1335
692	3003	1330
693	3007	1326
694	3012	1321
695	3016	1317
696	3020	1313
697	3025	1309
698	3029	1304
699	3034	1300
700	3038	1295
701	3042	1291
702	3047	1287
703	3051	1282
704	3055	1278
705	3059	1274
706	3064	1269
707	3068	1265
708	3072	1261
709	3077	1256
710	3081	1252
711	3085	1248
712	3089	1243
713	3093	1239
714	3097	1234
715	3101	1230
716	3106	1226
717	3110	1221
718	3115	1217
719	3119	1213
720	3123	1208
721	3127	1204
722	3132	1200
723	3136	1195
724	3140	1191
725	3145	1187
726	3149	1182
727	3154	1178
728	3157	1173
729	3162	1169
730	3166	1165
731	3170	1160
732	3175	1156
733	3179	1152
734	3183	1147
735	3188	1143
736	3192	1139
737	3196	1134
738	3200	1130
739	3204	1125
740	3209	1121
741	3213	1117
742	3217	1112
743	3222	1108
744	3226	1104
745	3230	1099
746	3234	1095
747	3239	1091
748	3243	1086
749	3248	1082
750	3252	1078
751	3256	1073
752	3260	1069
753	3264	1065
754	3269	1060
755	3273	1056
756	3277	1052
757	3282	1047
758	3288	1044
759	3292	1039
760	3296	1035
761	3300	1030
762	3304	1026
763	3309	1022
764	3313	1017
765	3317	1013
766	3321	1009
767	3326	1004
768	3330	1000
769	3334	996
770	3338	991
771	3343	987
772	3347	983
773	3351	978
774	3356	974
775	3360	970
776	3364	965
777	3368	961
778	3372	956
779	3377	952
780	3381	948
781	3385	943
782	3390	939
783	3394	935
784	3398	930
785	3403	926
786	3407	922
787	3412	917
788	3415	913
789	3421	909
790	3425	905
791	3429	900
792	3434	896
793	3438	892
794	3442	887
795	3446	883
796	3450	878
797	3454	874
798	3459	870
799	3463	865
800	3467	861
801	3471	857
802	3475	852
803	3479	848
804	3484	844
805	3488	839
806	3493	835
807	3497	831
808	3501	826
809	3505	822
810	3509	817
811	3513	813
812	3518	809
813	3522	804
814	3526	800
815	3531	796
816	3536	792
817	3540	787
818	3545	783
819	3550	779
820	3554	774
821	3559	770
822	3563	766
823	3567	762
824	3572	757
825	3576	753
826	3580	749
827	3585	744
828	3589	740
829	3593	736
830	3598	731
831	3603	727
832	3607	723
833	3611	718
834	3615	714
835	3620	710
836	3624	705
837	3629	701
838	3633	697
839	3638	693
840	3642	688
841	3647	684
842	3651	680
843	3655	675
844	3660	671
845	3664	667
846	3668	662
847	3672	658
848	3676	653
849	3681	649
850	3685	645
851	3689	640
852	3694	636
853	3699	632
854	3703	628
855	3708	623
856	3713	619
857	3717	615
858	3722	610
859	3727	606
860	3731	602
861	3735	598
862	3740	593
863	3744	589
864	3749	585
865	3753	580
866	3757	576
867	3762	572
868	3767	567
869	3771	563
870	3775	559
871	3779	554
872	3784	550
873	3788	546
874	3793	541
875	3797	537
876	3802	533
877	3806	528
878	3812	524
879	3817	520
880	3822	516
881	3827	512
882	3831	507
883	3836	503
884	3840	499
885	3844	494
886	3848	490
887	3852	485
888	3857	481
889	3861	477
890	3865	472
891	3870	468
892	3875	464
893	3879	459
894	3884	455
895	3888	451
896	3893	447
897	3897	442
898	3902	438
899	3906	434
900	3911	429
901	3915	425
902	3918	420
903	3922	416
904	3927	412
905	3931	407
906	3936	403
907	3940	399
908	3945	394
909	3949	390
910	3954	386
911	3958	381
912	3962	377
913	3966	373
914	3971	368
915	3975	364
916	3979	360
917	3984	355
918	3988	351
919	3993	347
920	3997	342
921	4001	338
922	4006	334
923	4011	329
924	4015	325
925	4019	321
926	4023	316
927	4028	312
928	4032	308
929	4037	303
930	4041	299
931	4046	295
932	4050	290
933	4054	286
934	4058	282
935	4063	277
936	4067	273
937	4071	269
938	4076	264
939	4080	260
940	4085	256
941	4090	251
942	4094	247
943	4099	243
944	4104	238
945	4109	234
946	4114	230
947	4119	225
948	4123	221
949	4128	217
950	4133	212
951	4137	208
952	4142	204
953	4146	199
954	4150	195
955	4154	191
956	4158	186
957	4163	182
958	4167	178
959	4172	173
960	4176	169
961	4181	165
962	4186	160
963	4190	156
964	4194	152
965	4198	147
966	4203	143
967	4207	139
968	4212	134
969	4217	130
970	4222	126
971	4227	121
972	4231	117
973	4235	113
974	4240	108
975	4244	104
976	4248	100
977	4253	95
978	4257	91
979	4261	86
980	4266	82
981	4270	78
982	4274	73
983	4278	69
984	4282	65
985	4286	60
986	4290	56
987	4295	52
988	4299	47
989	4304	43
990	4308	39
991	4313	34
992	4317	30
993	4321	26
994	4325	21
995	4329	17
996	4334	13
997	4338	8
998	4343	4
999	4347	0
